visit_id,visit_duration,Variation
101011654_3078115058_237331,0 days 00:01:47,Test
101018131_98163417200_901367,0 days 00:02:53,Control
101030486_64770311115_334089,0 days 00:04:10,Test
101093819_66558027327_682204,0 days 00:02:07,Test
101094131_85383261552_788150,0 days 00:00:46,Control
101095789_10442518934_382326,0 days 00:01:13,Test
10110963_12018428476_773812,0 days 00:00:00,Control
10111418_59591388284_939024,0 days 00:09:06,Test
101114217_62558506460_651777,0 days 00:01:06,Test
101120116_70489660261_84827,0 days 00:07:13,Control
101127163_76213781950_64100,0 days 00:04:22,Control
101131769_71477003769_557617,0 days 00:04:35,Test
101140098_34485335341_198445,0 days 00:01:21,Control
101140215_44015987399_153386,0 days 00:00:00,Test
101143883_71782939078_772553,0 days 00:02:42,Control
101228955_33584697901_374290,0 days 00:05:48,Control
101299207_34352941387_283858,0 days 00:02:16,Control
10132415_28171840649_223256,0 days 00:04:31,Control
101339145_59030942252_195139,0 days 00:02:49,Test
101351075_24045289214_506540,0 days 00:02:02,Test
101353522_64535639660_69005,0 days 00:06:32,Test
101356945_38257202995_214098,0 days 00:00:31,Control
101389230_14746485715_507991,0 days 00:00:00,Test
101392314_91331340315_841624,0 days 00:37:31,Test
101420660_70864320063_268486,0 days 00:02:52,Control
101430298_69072505500_555518,0 days 00:04:41,Test
101443588_38539502180_993540,0 days 00:00:00,Test
10146625_55092448080_942181,0 days 00:02:21,Control
101474438_42996626661_564566,0 days 00:07:46,Test
101492053_41703829728_425044,0 days 00:03:54,Test
101494772_26515669036_129353,0 days 00:03:51,Test
101505834_32427348236_567390,0 days 00:05:53,Test
10151340_71083463460_534483,0 days 00:09:37,Test
101579558_69735183437_760737,0 days 00:05:10,Test
101587529_99858300359_232850,0 days 00:00:12,Control
10159182_15246511835_346098,0 days 00:00:00,Test
10159198_84729287535_194650,0 days 00:03:52,Test
10160247_7644306633_536261,0 days 00:04:00,Test
101632251_3972004281_699230,0 days 00:01:15,Control
101632913_38542641459_604433,0 days 00:05:37,Control
101648946_2986090802_45728,0 days 00:13:27,Test
101657019_35350936910_130328,0 days 00:03:34,Control
101680890_99989873555_20306,0 days 00:39:17,Test
101685445_57309646367_72205,0 days 00:18:09,Test
101694351_48478447145_497774,0 days 00:00:00,Test
101699555_81180756343_194382,0 days 00:01:55,Test
101705911_92910589456_700339,0 days 00:00:59,Test
101715826_97622208061_360008,0 days 00:03:21,Control
101722456_58438104811_928683,0 days 00:03:08,Test
101723155_55190658662_237894,0 days 00:03:36,Control
101730358_52940740127_700366,0 days 00:01:15,Test
101750001_99499374687_400462,0 days 00:15:46,Test
101768700_91142432630_586450,0 days 00:00:28,Test
10177503_3130035561_623787,0 days 00:02:57,Test
101780244_22851723186_748129,0 days 00:00:03,Control
101794167_4777787282_217687,0 days 00:00:16,Test
101795269_11014215878_581088,0 days 00:06:00,Test
101802638_52752999485_99956,0 days 00:03:04,Test
101815309_16518757746_588210,0 days 00:02:51,Control
101822764_25803298242_795564,0 days 00:00:57,Control
101834489_14041973684_933577,0 days 00:06:57,Test
101843236_32514135773_422380,0 days 00:05:25,Test
101846948_96925910026_299041,0 days 00:11:32,Test
101881214_40147450360_975629,0 days 00:02:27,Test
101884417_53293783110_925967,0 days 00:00:47,Control
101885734_33165249816_513951,0 days 00:00:16,Test
101886605_42106504820_186284,0 days 00:02:12,Control
101888000_165543841_994097,0 days 00:13:00,Test
101894537_62812466351_460394,0 days 00:03:03,Test
101901793_38285706284_788189,0 days 00:02:22,Test
101943895_86775091670_183092,0 days 00:14:46,Control
10194677_47094805391_515472,0 days 00:04:32,Test
10195285_83113954302_914786,0 days 00:06:33,Control
101964240_76921976749_632667,0 days 00:00:00,Test
101992635_61594742250_953624,0 days 00:03:49,Control
102011341_65573429752_679025,0 days 00:01:24,Control
102023307_11552556299_423138,0 days 00:00:00,Test
102028949_77333531405_172916,0 days 00:01:47,Test
102039130_96083762708_562998,0 days 00:11:59,Test
102040676_43919492336_211555,0 days 00:12:52,Test
102080539_2157046535_369903,0 days 00:00:00,Control
10208190_60248923635_552228,0 days 00:00:18,Control
10208508_48498393982_276767,0 days 00:40:59,Test
102087008_74127215915_642470,0 days 00:12:14,Control
10210243_96284954273_763426,0 days 00:10:58,Control
102107667_79348620618_407005,0 days 00:00:57,Control
102117430_8358683171_251810,0 days 00:06:17,Control
102118013_73394275138_810845,0 days 00:00:00,Control
102127158_52101637420_767224,0 days 00:00:00,Test
102135578_44389748355_529451,0 days 00:06:14,Test
102142817_7580637917_670602,0 days 00:00:00,Test
102156481_9712246009_751130,0 days 00:00:05,Control
102172447_66154207246_163667,0 days 00:00:05,Control
102192856_36776313213_528609,0 days 00:01:35,Test
102193071_86164823980_207231,0 days 00:11:22,Control
102196638_7300689157_648696,0 days 00:00:00,Test
10219761_62886288888_316058,0 days 00:00:07,Control
102211813_41749528713_49412,0 days 00:03:09,Control
102214391_53690192711_710157,0 days 00:00:00,Test
102239627_21788120461_642410,0 days 00:02:29,Test
102241937_44186923257_675771,0 days 00:01:27,Control
102244529_84725290299_488803,0 days 00:00:00,Test
102248635_49263086114_638760,0 days 00:00:00,Test
102258111_12712392228_569788,0 days 00:30:15,Test
102260327_62370031760_695202,0 days 00:02:45,Test
102313083_89099432393_519923,0 days 00:05:33,Test
102325392_86547848475_112415,0 days 00:00:00,Control
10233178_18548402935_608194,0 days 00:00:00,Control
102335079_31127942488_988541,0 days 00:13:52,Test
10234907_41978095975_824674,0 days 00:01:41,Test
102356663_77602239627_289902,0 days 00:01:05,Test
102420850_45848793138_457210,0 days 00:00:00,Control
102421900_70236787868_561855,0 days 00:00:00,Control
102444768_32769766838_982610,0 days 00:06:46,Control
102461853_89884307837_366717,0 days 00:01:24,Control
102471329_42330730217_249767,0 days 00:00:00,Control
102484927_98294291724_438700,0 days 00:03:38,Test
102494042_58914135776_502357,0 days 00:01:02,Test
102499021_85930930609_946443,0 days 00:03:53,Test
10250417_54755943070_630567,0 days 00:00:35,Control
102530721_90592399939_135279,0 days 00:18:02,Control
102533008_90910706675_937858,0 days 00:00:15,Test
102536241_9330188050_272777,0 days 00:04:15,Test
102557097_40239704786_584359,0 days 00:00:00,Control
102592926_95416944746_414256,0 days 00:00:00,Test
102658008_48118015069_66903,0 days 00:08:33,Control
102665060_37915112799_22973,0 days 00:11:31,Control
102676129_2928490180_116179,0 days 00:00:15,Test
102700395_3650299328_241644,0 days 00:04:19,Control
102711693_32673812507_268789,0 days 00:01:56,Control
102712882_62553151276_884405,0 days 00:00:00,Test
10271778_60310580255_346120,0 days 00:03:58,Test
102726299_88890501425_250481,0 days 00:01:41,Test
102732284_85491431716_901533,0 days 00:09:01,Control
102736795_17468849335_437561,0 days 00:00:00,Test
102777033_42146116298_112667,0 days 00:02:13,Test
102779011_83152676059_817594,0 days 00:00:00,Control
102784099_87525732926_154143,0 days 00:05:15,Test
102801864_49345732746_12571,0 days 00:03:43,Control
102829584_93976627605_480184,0 days 00:06:09,Test
102837653_94701008367_878441,0 days 00:05:48,Test
102846212_50902509516_776918,0 days 00:02:07,Test
102870081_77463689264_654344,0 days 00:03:58,Test
102878449_27122708953_916774,0 days 00:00:41,Test
102916667_11468243351_655545,0 days 00:00:00,Control
102940379_7417592296_388628,0 days 00:00:00,Test
102949387_26784818853_893988,0 days 00:00:26,Control
102975007_58653569101_864796,0 days 00:15:43,Test
10297728_36443899834_420540,0 days 00:04:07,Test
10297943_82235334464_956711,0 days 00:00:26,Test
102999029_97734962870_849096,0 days 00:11:33,Test
103003186_87917713003_452667,0 days 00:00:00,Control
103011713_52375037238_774666,0 days 00:14:23,Test
103021888_19484517133_523435,0 days 00:02:01,Control
10302777_33961048646_359086,0 days 00:06:53,Test
103041874_95879211699_309427,0 days 00:00:00,Control
103049564_53637551445_140548,0 days 00:17:40,Control
103067846_46368558812_483037,0 days 00:05:13,Test
103074110_36036427436_224168,0 days 00:10:25,Control
103097108_59620739018_675854,0 days 00:02:40,Control
103099657_39558218628_73278,0 days 00:00:56,Control
103103875_46336298052_373337,0 days 00:01:47,Test
103116910_64895230489_690799,0 days 00:09:05,Test
103130243_32100266511_903233,0 days 00:02:18,Test
103136978_65760039883_30108,0 days 00:00:00,Test
103153313_89180810554_652969,0 days 00:02:41,Test
10316232_45686287355_885895,0 days 00:00:00,Control
103190227_18153491384_523716,0 days 00:04:03,Test
103203733_87955828038_624161,0 days 00:00:00,Test
103206917_79424670085_548578,0 days 00:01:49,Control
103231866_97001718341_176355,0 days 00:01:46,Test
103250270_91305892356_725889,0 days 00:06:43,Test
103259230_91726805198_42860,0 days 00:03:45,Control
103262112_44272205554_17076,0 days 00:02:55,Control
103280492_35048423642_295880,0 days 00:01:31,Test
103282678_27042361815_851705,0 days 00:02:45,Control
103288968_42584086301_52288,0 days 00:03:06,Control
103314992_38940221828_86119,0 days 00:02:04,Test
103316124_77336417516_450479,0 days 00:10:22,Test
103334673_42929357722_227220,0 days 00:02:50,Test
103338906_44331369004_437726,0 days 00:00:00,Test
103341679_51260451764_941791,0 days 00:00:00,Test
10334176_51873545023_86086,0 days 00:07:45,Test
103342398_45398458430_825388,0 days 00:06:30,Test
103351895_72450757094_488818,0 days 00:02:55,Test
103375343_29061810051_12489,0 days 00:00:22,Test
103386244_38229139313_546758,0 days 00:05:48,Control
103389609_87597000224_651297,0 days 00:02:44,Control
103390146_17791176841_983341,0 days 00:09:09,Control
103396645_98084330235_245798,0 days 00:08:09,Test
103429522_91068110681_512926,0 days 00:02:34,Test
103429659_37868581419_964988,0 days 00:10:42,Control
103452266_65589345292_334664,0 days 00:05:23,Control
103488628_49758919268_823542,0 days 00:03:44,Test
103509575_90938249713_622091,0 days 00:07:50,Control
103510306_94152799763_79978,0 days 00:02:23,Control
103514777_61647169544_119343,0 days 00:00:06,Control
103538296_11904058214_819864,0 days 00:01:06,Test
103547153_48132333098_296164,0 days 00:02:04,Control
103561765_93272178897_495124,0 days 00:02:16,Test
103568196_75903429026_290469,0 days 00:01:07,Test
103587918_85812829742_55398,0 days 00:02:09,Control
103601194_76355185230_460744,0 days 00:02:38,Control
103606500_24681696328_451700,0 days 00:03:07,Test
103609069_67444114796_723567,0 days 00:07:55,Control
103610734_70849851857_133700,0 days 00:02:03,Test
103615346_95330399076_836311,0 days 00:00:00,Test
103652701_73650629217_989700,0 days 00:01:10,Control
103672872_27263820810_450006,0 days 00:04:01,Control
103685128_7533224952_117209,0 days 00:07:24,Control
103689029_41882753010_215591,0 days 00:00:45,Test
103690685_99093075856_611613,0 days 00:08:24,Test
103718181_78133780798_378891,0 days 00:09:35,Test
103728654_862458844_13886,0 days 00:01:55,Control
103760599_69968167899_342222,0 days 00:01:25,Control
103771513_78523843872_7154,0 days 00:00:45,Control
103797768_89024128068_105778,0 days 00:09:42,Test
103808018_38026064618_356916,0 days 00:02:58,Control
10381309_94441024337_943455,0 days 00:03:23,Test
103828097_2964593896_769569,0 days 00:09:37,Control
103844930_39480104147_119972,0 days 00:09:20,Test
103892479_63697822086_835141,0 days 00:00:00,Test
103925915_87560969444_561630,0 days 00:04:47,Test
103954141_32721167733_76757,0 days 00:00:21,Control
103961115_70179628776_519590,0 days 00:09:03,Control
103962335_25060963174_327284,0 days 00:05:11,Control
104032435_62114953894_417370,0 days 00:16:21,Test
10405216_27295232690_129849,0 days 00:08:02,Test
104052567_51896422006_946275,0 days 00:11:15,Test
104063878_93190446416_742455,0 days 00:00:00,Control
104072021_28244059579_597590,0 days 00:00:44,Control
104082777_42499597295_944666,0 days 00:09:59,Test
104083710_37806604745_590166,0 days 00:01:59,Test
104083800_60349476282_456725,0 days 00:02:02,Control
1040920_55307144228_427483,0 days 00:02:41,Test
104102344_440726316_757498,0 days 00:02:56,Control
104125938_19215127985_615367,0 days 00:08:45,Test
104145193_36067138148_118971,0 days 00:00:01,Control
104169592_44210761083_702489,0 days 00:03:33,Control
104188701_32251245563_949267,0 days 00:05:03,Test
104192619_67296701164_160596,0 days 00:00:23,Test
104222319_64628836240_918404,0 days 00:04:40,Control
104232935_43235873983_67440,0 days 00:00:00,Control
104270547_21421209917_971358,0 days 00:03:46,Control
104290818_41911217263_795489,0 days 00:05:06,Test
104326589_70843130712_906222,0 days 00:00:26,Control
104337957_61247003448_631454,0 days 00:06:00,Test
10434397_57821410111_397397,0 days 00:00:00,Control
104362744_26476684339_478439,0 days 00:02:24,Control
104365816_69279638422_290118,0 days 00:07:57,Test
104376122_49318033660_691105,0 days 00:00:14,Control
104384293_44856181492_698912,0 days 00:01:54,Test
104400883_2375105976_218259,0 days 00:00:29,Test
104418267_51474889719_962654,0 days 00:04:07,Test
104438405_2368283624_817211,0 days 00:04:09,Test
104455207_26549011733_252030,0 days 00:00:42,Test
104475028_24299576645_951674,0 days 00:00:05,Test
104484209_99971291516_97120,0 days 00:00:00,Test
104503918_88678867372_299559,0 days 00:02:22,Test
104510040_4336593208_128989,0 days 00:09:37,Test
104520844_52262021509_531039,0 days 00:00:00,Test
104561734_15618293043_834527,0 days 00:00:17,Control
104573440_30922831299_26449,0 days 00:00:54,Test
104600854_54570236968_577535,0 days 00:01:44,Test
104604981_52018008817_489927,0 days 00:03:46,Control
104607553_63113543212_684641,0 days 00:03:12,Test
104609860_39786720919_506291,0 days 00:00:29,Test
104611358_99312923751_651012,0 days 00:15:59,Control
104626827_5217551345_835814,0 days 00:04:18,Test
104629663_11646004013_508037,0 days 00:02:47,Control
10463399_86967089664_748023,0 days 00:19:24,Test
104648703_38088655862_963517,0 days 00:01:36,Test
104671112_72226641226_692067,0 days 00:04:12,Test
104678659_36278223108_614428,0 days 00:05:21,Control
104683420_95145670621_124388,0 days 00:18:14,Test
104692670_75667241605_479940,0 days 00:01:38,Test
104705023_95620564777_593551,0 days 00:00:22,Test
104710911_72306734784_450595,0 days 00:03:41,Test
104712046_60126982288_337420,0 days 00:20:38,Control
104713695_45224189972_256336,0 days 00:00:00,Control
104734418_18768854589_912405,0 days 00:07:42,Test
104759010_79418548877_133125,0 days 00:01:40,Test
104759490_32926825705_39628,0 days 00:02:32,Test
104764150_73283869932_951741,0 days 00:06:35,Test
104771695_29531939894_162247,0 days 00:01:50,Test
104776692_31910584761_228392,0 days 00:02:01,Test
104779581_5871971578_957356,0 days 00:00:12,Control
104805821_49529469720_441232,0 days 00:01:26,Test
104807765_77625325003_191943,0 days 00:00:00,Test
104815984_48743056662_416310,0 days 00:04:48,Test
104853864_15340926053_27153,0 days 00:07:26,Test
10485582_53453454481_438325,0 days 00:00:00,Control
10486918_82817683707_804371,0 days 00:02:40,Test
104874051_46248484407_868424,0 days 00:00:10,Control
104893454_90760084160_255538,0 days 00:00:00,Control
104896416_75722393196_689072,0 days 00:00:42,Test
104904175_28577721463_608061,0 days 00:05:12,Test
104919806_96804405687_501195,0 days 00:06:57,Test
104944548_40883139441_93173,0 days 00:03:08,Control
104971026_26405371271_631532,0 days 00:01:03,Test
104977399_88468958887_125871,0 days 00:19:24,Test
104984137_13056803769_910973,0 days 00:00:00,Control
105021761_97762713751_883613,0 days 00:29:56,Control
105029903_87788497968_464510,0 days 00:00:00,Control
105048078_55050699627_845365,0 days 00:02:39,Control
105052451_60790410291_962728,0 days 00:02:22,Test
105090713_48098327093_411060,0 days 00:00:05,Test
105091881_38847710974_589990,0 days 00:03:55,Control
105120777_71749834736_17256,0 days 00:04:54,Test
105125451_97139103576_888733,0 days 00:03:08,Test
105130144_88070617597_601122,0 days 00:05:37,Test
105130588_83395941950_968824,0 days 00:03:15,Control
105184438_82572170937_625454,0 days 00:00:00,Test
105189986_65940289745_70685,0 days 00:00:00,Test
105213573_6959115113_374761,0 days 00:04:10,Test
105222844_74154967745_766885,0 days 00:00:00,Control
105231784_73768895001_439276,0 days 00:03:19,Control
105252692_84267414832_344877,0 days 00:05:45,Test
10525585_16624908258_755243,0 days 00:02:36,Control
105267422_78903782197_367795,0 days 00:05:45,Control
105297786_29621496747_670454,0 days 00:03:34,Test
105310597_44245617177_116573,0 days 00:01:40,Control
10533296_19342141188_838522,0 days 00:07:25,Test
105351405_51853757122_157297,0 days 00:00:00,Control
105356822_18107865160_411243,0 days 00:06:05,Control
105397247_2189954903_518088,0 days 00:04:25,Control
105429711_80835396569_655126,0 days 00:01:14,Control
105450483_7512094596_788141,0 days 00:00:00,Control
105458872_73633905256_530797,0 days 00:15:49,Control
105458894_14199333129_3131,0 days 00:04:33,Control
105462273_67494302373_957890,0 days 00:03:29,Test
105463936_33665073256_202725,0 days 00:01:29,Control
105528198_88476234988_704586,0 days 00:42:36,Test
105559792_63874509233_764714,0 days 00:00:07,Test
105562619_26580127431_303548,0 days 00:00:41,Test
10556427_59314261366_450199,0 days 00:03:06,Test
105564674_95442780237_285500,0 days 00:01:39,Control
10557984_74046296909_674197,0 days 00:03:10,Test
105638531_66120099772_582488,0 days 00:01:24,Test
105642856_37220704300_234639,0 days 00:00:00,Control
105654856_27538576603_148503,0 days 00:03:03,Test
10566599_45587295025_172827,0 days 00:00:17,Control
105682428_52007266588_875444,0 days 00:00:00,Test
105687916_37056975038_128942,0 days 00:05:57,Control
105697291_47606343533_645350,0 days 00:10:46,Control
105697603_42362617011_929945,0 days 00:03:09,Test
105699523_64156824462_799517,0 days 00:00:23,Test
105713435_18275303055_967670,0 days 00:04:59,Test
105716156_71220350745_747217,0 days 00:00:00,Test
105716721_80700316781_770303,0 days 00:14:46,Test
105727237_33299933441_343945,0 days 00:19:42,Control
105731649_83555448762_981216,0 days 00:00:00,Test
105733065_54467481472_535394,0 days 00:13:46,Test
105742024_85246754194_412258,0 days 00:00:12,Control
10577637_54025840873_943862,0 days 00:02:47,Test
105779011_74310922511_16797,0 days 00:00:46,Control
10579635_39481463812_262571,0 days 00:08:52,Test
105846899_46106521051_46180,0 days 00:02:53,Test
105846921_33921978329_667378,0 days 00:08:47,Control
105849068_17000709084_830710,0 days 00:02:40,Control
10584945_46072439356_160342,0 days 00:02:24,Test
105862321_36551903844_939043,0 days 00:00:00,Control
105869340_73426603366_346966,0 days 00:01:48,Test
105877223_61802077621_417951,0 days 00:02:45,Control
105884506_98727663787_454237,0 days 00:12:02,Test
105885941_28403377963_508699,0 days 00:00:28,Test
1058878_6068392397_212360,0 days 00:14:06,Control
1059370_91798102316_778136,0 days 00:00:00,Test
105973947_88322987006_257781,0 days 00:02:21,Test
105981591_70237515451_29158,0 days 00:06:52,Control
105998803_62630916167_181478,0 days 00:05:38,Control
105999073_77773384891_217157,0 days 00:04:39,Test
106001304_58473891975_988259,0 days 00:03:06,Test
106006949_19302036601_135335,0 days 00:02:03,Test
106014124_52918172004_518837,0 days 00:00:00,Control
106020402_81964804358_151571,0 days 00:14:04,Control
106020983_93181100604_585693,0 days 00:01:04,Control
106024454_57984502700_991263,0 days 00:00:00,Control
106039644_54416841163_187238,0 days 00:00:27,Control
106052429_14824196356_905818,0 days 00:04:24,Test
106062830_23704503289_392883,0 days 00:03:40,Control
106063612_44887943452_881713,0 days 00:02:26,Test
106077428_2572724392_430646,0 days 00:02:26,Control
106135460_7780027275_359695,0 days 00:00:10,Control
106145543_80076286901_797889,0 days 00:00:04,Control
106158354_34890877097_430348,0 days 00:00:00,Control
106159737_63034228854_430947,0 days 00:00:00,Test
106162458_13073625157_259055,0 days 00:03:09,Control
106166026_65762982131_718523,0 days 00:01:59,Test
106169276_92801217913_772633,0 days 00:00:46,Test
106185096_47057462651_445214,0 days 00:00:00,Test
106188542_73791453439_396070,0 days 00:06:57,Control
106209844_29458873765_979034,0 days 00:06:18,Test
106220538_39932157904_500054,0 days 00:00:00,Test
106221391_55485370533_288682,0 days 00:03:38,Control
106230609_98155655442_299610,0 days 00:01:07,Control
106232894_58365287236_311352,0 days 00:02:00,Control
106238467_17042749881_660710,0 days 00:02:23,Test
106264914_49585476195_879523,0 days 00:10:25,Test
10628788_64867837632_58583,0 days 00:04:39,Test
106288735_5496759638_969218,0 days 00:02:50,Control
106291332_52075654336_115876,0 days 00:05:35,Test
106291506_73338568134_866530,0 days 00:00:00,Control
106292075_94878957222_708923,0 days 00:08:07,Test
106379446_67121530348_419079,0 days 00:03:25,Test
106392375_63078373438_245579,0 days 00:00:00,Test
106405017_42183028634_631400,0 days 00:06:50,Test
106448779_70353020907_405440,0 days 00:01:36,Control
106465765_51525981109_216333,0 days 00:00:00,Control
106487671_69415336021_642584,0 days 00:05:36,Control
106506438_80982910196_874581,0 days 00:04:07,Control
106516319_17231742424_451640,0 days 00:02:04,Control
106530045_50715786080_839962,0 days 00:13:48,Control
106537849_47975457596_14701,0 days 00:00:00,Test
106539194_44506273146_830318,0 days 00:04:57,Test
10654808_96674023203_858549,0 days 00:00:00,Test
106562908_15410746460_945284,0 days 00:05:38,Test
106573888_98797701613_129572,0 days 00:00:00,Control
106588504_5828543624_414168,0 days 00:02:20,Control
106610175_69651082283_22181,0 days 00:02:14,Control
106610261_26517700947_566412,0 days 00:07:49,Test
106616352_49336215172_500698,0 days 00:01:56,Test
106655969_13360877421_676015,0 days 00:02:29,Test
10666445_47648151759_429171,0 days 00:02:10,Test
10666472_64900029009_985898,0 days 00:02:37,Control
106679528_83928157480_253697,0 days 00:05:28,Control
106710338_71972000759_983488,0 days 00:00:00,Test
106726400_1469041131_435314,0 days 00:08:08,Test
106728830_24796395479_680506,0 days 00:04:33,Control
106742846_97029063001_192846,0 days 00:03:45,Control
106749425_84660712069_228934,0 days 00:01:58,Control
106755864_17709221562_123972,0 days 00:16:31,Test
10676122_67167455707_769155,0 days 00:01:48,Test
106762185_22787047103_166209,0 days 00:13:16,Control
10676892_62797396948_321032,0 days 00:03:58,Control
106770051_83279918981_813844,0 days 00:04:00,Test
106783340_67160939993_400118,0 days 00:00:10,Test
106792523_73817709529_506584,0 days 00:00:35,Test
106805459_62507842156_488717,0 days 00:02:12,Control
106809676_34736821159_772023,0 days 00:03:52,Control
106826657_95543215217_629913,0 days 00:02:58,Test
106853793_982983940_670658,0 days 00:04:52,Control
10685813_76496105820_934269,0 days 00:03:18,Control
106897939_29179246579_37375,0 days 00:04:01,Test
106902917_81957236384_554805,0 days 00:00:59,Test
106910574_28821082112_739895,0 days 00:00:22,Control
10691547_6905772212_536480,0 days 00:07:57,Control
106922750_68558794930_556119,0 days 00:00:24,Test
106932889_27477532533_224509,0 days 00:03:06,Test
106955044_72064422285_844262,0 days 00:00:52,Control
106968600_35541941103_414378,0 days 00:01:33,Test
10697014_45753702789_330913,0 days 00:02:21,Test
106973227_30712029071_656405,0 days 00:13:26,Control
106979248_15640946710_142957,0 days 00:03:21,Test
106991823_36926773912_894581,0 days 00:06:16,Control
106995782_27030237984_327384,0 days 00:00:00,Control
107013155_69152812489_518523,0 days 00:00:00,Control
10701368_33671322700_675209,0 days 00:08:38,Control
107016836_86308944528_107226,0 days 00:00:14,Control
107017601_40884182565_619030,0 days 00:11:32,Test
1070340_64433955447_943502,0 days 00:01:22,Control
107045394_54554679852_519448,0 days 00:02:10,Control
107057773_80466562830_732923,0 days 00:02:36,Test
10708236_91239323295_576087,0 days 00:00:17,Control
107084877_94470350214_30033,0 days 00:01:49,Control
107090185_43642799759_974372,0 days 00:09:26,Control
10709556_76578529756_76098,0 days 00:03:24,Test
107101222_33639192678_690000,0 days 00:00:34,Control
107117937_86456185680_313223,0 days 00:00:05,Control
107155014_47962012202_430208,0 days 00:15:38,Test
107164308_54379907577_931356,0 days 00:00:53,Test
107180563_67256983369_744022,0 days 00:02:22,Test
10721468_20141279440_61193,0 days 00:23:06,Control
107222483_8242134100_684417,0 days 00:06:13,Control
10723739_49503519120_612119,0 days 00:06:06,Test
107237727_91762311046_263033,0 days 00:00:00,Test
107245514_55200399787_241606,0 days 00:05:09,Test
107248528_50766485563_829656,0 days 00:01:16,Test
107274022_89936223710_343741,0 days 00:05:30,Test
107287518_41090694585_807317,0 days 00:00:00,Control
107290136_69024949502_534009,0 days 00:06:14,Test
107291547_22481134147_322645,0 days 00:05:56,Control
107308465_99903699378_206354,0 days 00:35:48,Test
107318503_1037435306_176414,0 days 00:00:17,Test
107325144_83643998565_768712,0 days 00:00:00,Test
10736492_51772568397_109044,0 days 00:02:56,Control
107388830_92934484836_986365,0 days 00:03:55,Test
107393943_50695598510_39093,0 days 00:01:27,Test
107405670_56974328889_420437,0 days 00:06:01,Test
107406868_34571948150_269115,0 days 00:01:30,Test
107410475_26947979579_355416,0 days 00:00:07,Control
107419964_89811129887_112985,0 days 00:01:29,Test
107444312_10965878893_819438,0 days 00:20:41,Test
